sideSlip,count,band
-14.9,1,few
-14.2,1,few
-14.0,1,few
-13.7,1,few
-12.7,1,few
-12.1,1,few
-12.0,2,few
-11.9,1,few
-11.7,1,few
-11.6,1,few
-11.5,3,few
-11.4,2,few
-11.3,1,few
-11.2,1,few
-11.1,1,few
-11.0,1,few
-10.9,2,few
-10.8,1,few
-10.7,3,few
-10.6,2,few
-10.3,2,few
-10.2,1,few
-10.1,1,few
-9.9,2,few
-9.8,2,few
-9.7,4,few
-9.6,7,few
-9.5,6,few
-9.4,5,few
-9.3,2,few
-9.2,2,few
-9.1,2,few
-9.0,8,few
-8.9,4,few
-8.8,6,few
-8.7,1,few
-8.6,3,few
-8.5,5,few
-8.4,5,few
-8.3,3,few
-8.2,9,few
-8.1,8,few
-8.0,11,few
-7.9,8,few
-7.8,7,few
-7.7,8,few
-7.6,11,few
-7.5,9,few
-7.4,25,few
-7.3,13,few
-7.2,15,few
-7.1,12,few
-7.0,18,few
-6.9,13,few
-6.8,20,few
-6.7,22,few
-6.6,34,few
-6.5,17,few
-6.4,33,few
-6.3,22,few
-6.2,33,few
-6.1,19,few
-6.0,26,few
-5.9,21,few
-5.8,32,few
-5.7,34,few
-5.6,49,few
-5.5,32,few
-5.4,39,few
-5.3,35,few
-5.2,24,few
-5.1,28,few
-5.0,33,few
-4.9,39,few
-4.8,44,few
-4.7,36,few
-4.6,38,few
-4.5,50,few
-4.4,56,few
-4.3,59,few
-4.2,90,few
-4.1,79,few
-4.0,108,few
-3.9,89,few
-3.8,134,medium
-3.7,151,medium
-3.6,206,medium
-3.5,182,medium
-3.4,271,medium
-3.3,275,medium
-3.2,388,medium
-3.1,329,medium
-3.0,505,medium
-2.9,435,medium
-2.8,611,medium
-2.7,629,medium
-2.6,814,medium
-2.5,704,medium
-2.4,902,many
-2.3,781,medium
-2.2,1014,many
-2.1,950,many
-2.0,1353,many
-1.9,1150,many
-1.8,1581,many
-1.7,1327,many
-1.6,1742,many
-1.5,1592,many
-1.4,2178,many
-1.3,2073,many
-1.2,2653,many
-1.1,2362,many
-1.0,3214,many
-0.9,2679,many
-0.8,3757,many
-0.7,3345,many
-0.6,4882,many
-0.5,4755,many
-0.4,7194,many
-0.3,7811,many
-0.2,12952,many
-0.1,12804,many
-0.0,17469,many
0.1,12415,many
0.2,9262,many
0.3,4642,many
0.4,4446,many
0.5,3205,many
0.6,3900,many
0.7,2979,many
0.8,3416,many
0.9,2460,many
1.0,2803,many
1.1,2100,many
1.2,2277,many
1.3,1713,many
1.4,1808,many
1.5,1376,many
1.6,1524,many
1.7,1185,many
1.8,1313,many
1.9,981,many
2.0,1168,many
2.1,906,many
2.2,974,many
2.3,784,medium
2.4,860,many
2.5,656,medium
2.6,774,medium
2.7,573,medium
2.8,665,medium
2.9,475,medium
3.0,524,medium
3.1,423,medium
3.2,446,medium
3.3,324,medium
3.4,365,medium
3.5,277,medium
3.6,282,medium
3.7,222,medium
3.8,272,medium
3.9,174,medium
4.0,217,medium
4.1,120,few
4.2,152,medium
4.3,104,few
4.4,135,medium
4.5,69,few
4.6,112,few
4.7,114,few
4.8,135,medium
4.9,111,few
5.0,144,medium
5.1,116,few
5.2,111,few
5.3,65,few
5.4,59,few
5.5,41,few
5.6,50,few
5.7,34,few
5.8,58,few
5.9,52,few
6.0,64,few
6.1,61,few
6.2,78,few
6.3,47,few
6.4,51,few
6.5,32,few
6.6,28,few
6.7,22,few
6.8,29,few
6.9,31,few
7.0,28,few
7.1,17,few
7.2,33,few
7.3,18,few
7.4,20,few
7.5,15,few
7.6,26,few
7.7,7,few
7.8,12,few
7.9,12,few
8.0,17,few
8.1,15,few
8.2,19,few
8.3,11,few
8.4,15,few
8.5,10,few
8.6,12,few
8.7,15,few
8.8,8,few
8.9,15,few
9.0,24,few
9.1,20,few
9.2,25,few
9.3,20,few
9.4,21,few
9.5,20,few
9.6,20,few
9.7,9,few
9.8,10,few
9.9,4,few
10.0,2,few
10.1,4,few
10.2,4,few
10.3,5,few
10.4,6,few
10.5,2,few
10.6,5,few
10.8,1,few
11.2,1,few
11.3,1,few
11.4,2,few
11.6,1,few
